,Transmission,Drive,Drive Type,Engine Size,Engine Cylinders,City MPG,Highway MPG,Fuel,Super,Class
812,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
813,Automatic,2 wheel,Rear,2.0,4.0,26,35.0,Gas,None,Convertible
814,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
815,Automatic,2 wheel,Rear,2.0,4.0,22,28.0,Gas,Turbo,Suv-crossover
816,Manual,4 wheel,-1,3.8,6.0,15,19.0,Gas,None,Suv-crossover
817,Automatic,2 wheel,Rear,3.5,6.0,21,28.0,Gas,None,Convertible
818,Automatic,All wheel,-1,3.0,6.0,19,23.0,Gas,Turbo,Suv-crossover
819,Automatic,2 wheel,Rear,3.9,8.0,16,22.0,Gas,Turbo,Convertible
820,Manual,2 wheel,Rear,3.4,8.0,-1,-1.0,Gas,None,Convertible
821,Automatic,All wheel,-1,2.0,4.0,22,27.0,Gas,Turbo,Suv-crossover
822,Automatic,2 wheel,Front,1.4,4.0,26.0,36.0,Gas,Turbo,Sedan
823,Automatic,2 wheel,Front,3.5,6.0,19,28.0,Gas,None,Van
824,Automatic,2 wheel,Front,2.0,4.0,22.0,32.0,Gas,Turbo,Sedan
825,Automatic,2 wheel,Rear,3.3,6.0,19,25.0,Flexible,None,Truck
826,Automatic,2 wheel,Front,3.5,6.0,22.0,32.0,Gas,None,Sedan
827,Automatic,All wheel,-1,4.4,8.0,15,21.0,Gas,Turbo,Convertible
828,Automatic,All wheel,-1,2.0,4.0,23,31.0,Gas,Turbo,Suv-crossover
829,Automatic,2 wheel,Rear,5.0,8.0,15,25.0,Gas,None,Convertible
830,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
831,Automatic,2 wheel,Front,3.5,6.0,18,25.0,Gas,None,Van
832,Automatic,All wheel,-1,2.0,4.0,21,30.0,Flexible,Turbo,Sedan
833,Automatic,2 wheel,Front,2.4,4.0,22,31.0,Gas,None,Suv-crossover
834,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
835,Automatic,2 wheel,Rear,5.4,8.0,13,17.0,Gas,None,Truck
836,Automatic,2 wheel,Front,1.5,4.0,28,34.0,Gas,Turbo,Suv-crossover
837,Automatic,4 wheel,-1,3.5,6.0,16,22.0,Gas,Turbo,Truck
838,Automatic,2 wheel,Front,1.8,4.0,23,34.0,Gas,Turbo,Sedan
839,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
840,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
841,Automatic,2 wheel,Rear,1.4,4.0,25,36.0,Gas,Turbo,Convertible
842,Automatic,2 wheel,Rear,3.7,6.0,-1,-1.0,Flexible,None,Van
843,Automatic,2 wheel,Rear,3.0,6.0,20,30.0,Gas,Turbo,Convertible
844,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
845,Automatic,2 wheel,Rear,5.0,8.0,15,24.0,Gas,None,Convertible
846,Automatic,4 wheel,-1,6.6,8.0,-1,-1.0,Gas,None,Truck
847,Automatic,2 wheel,Front,3.3,6.0,18,24.0,Gas,None,Van
848,Automatic,2 wheel,Front,3.5,6.0,20,27.0,Gas,None,Suv-crossover
849,Automatic,4 wheel,-1,2.5,4.0,19,24.0,Gas,None,Truck
850,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
851,Automatic,2 wheel,Rear,2.5,4.0,17,23.0,Gas,None,Truck
852,Automatic,2 wheel,Front,2.0,4.0,27,31.0,Gas,None,Suv-crossover
853,Automatic,All wheel,-1,5.5,8.0,12,15.0,Gas,None,Suv-crossover
854,Manual,2 wheel,Rear,2.0,4.0,26,34.0,Gas,None,Convertible
855,Automatic,2 wheel,Rear,3.0,6.0,20,25.0,Diesel,Turbo,Truck
856,Automatic,4 wheel,-1,5.0,8.0,16,21.0,Gas,Super,Suv-crossover
857,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
858,Automatic,All wheel,-1,3.7,6.0,17,25.0,Gas,None,Sedan
859,Automatic,2 wheel,Front,2.0,4.0,22,32.0,Gas,Turbo,Sedan
860,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Van
861,Automatic,2 wheel,Front,3.6,6.0,17,24.0,Gas,None,Suv-crossover
862,Automatic,All wheel,-1,2.0,4.0,22,29.0,Gas,Turbo,Sedan
863,Automatic,2 wheel,Rear,4.0,6.0,17,22.0,Gas,None,Suv-crossover
864,Automatic,All wheel,-1,2.0,4.0,21,28.0,Gas,Turbo,Suv-crossover
865,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
866,Automatic,All wheel,-1,2.0,4.0,22,32.0,Gas,Turbo,Sedan
867,Automatic,4 wheel,-1,3.6,6.0,17,24.0,Gas,None,Truck
868,Automatic,4 wheel,-1,4.0,6.0,16,19.0,Gas,None,Suv-crossover
